순위,영화명,개봉일,매출액,매출액 점유율,관객수,스크린수,상영횟수,대표국적,국적,배급사
856,타락천사,1995.12.23,"4,346,500",0.0%,544,1,9,홍콩,홍콩,
858,바디 앤 안티바디,2013.7.11,"3,258,000",0.0%,543,1,3,미국,미국,TCO(주)더콘텐츠온
859,그 여자 그 남자의 속사정,2013.1.31,"3,747,000",0.0%,539,5,63,한국,한국,어뮤즈
860,스톤 부인의 로마의 봄,,"1,074,000",0.0%,537,1,6,미국,"미국,영국",
861,토리노의 말,2012.2.23,"4,427,000",0.0%,535,1,7,헝가리,"헝가리,프랑스,독일,스위스,미국",(재)전주국제영화제조직위원회
862,내일은 영원히,,"1,068,000",0.0%,534,1,9,멕시코,멕시코,
863,신의 소녀들,2012.12.6,"3,341,000",0.0%,532,5,62,루마니아,"루마니아,프랑스",찬란
863,파리의 아메리카인,,"1,064,000",0.0%,532,1,12,미국,미국,
865,오만과 편견,,"1,060,000",0.0%,530,1,10,미국,미국,
866,방독피,2013.8.22,"3,305,000",0.0%,529,7,77,한국,한국,(주)두엔터테인먼트
867,젊은 엄마,2013.8.6,"3,168,000",0.0%,528,1,2,한국,한국,"골든타이드픽처스(주),(주)옐로우필름"
868,리버티 밸런스를 쏜 사나이,,"1,172,000",0.0%,526,1,11,미국,미국,
869,로맨스 빠빠,1960.1.28,"1,053,000",0.0%,525,1,18,한국,한국,
870,서울연애,2014.10.30,"2,869,500",0.0%,524,1,3,한국,한국,서울독립영화제
870,공각기동대 어라이즈 보더 1: 고스트 페인,2013.10.24,"3,613,000",0.0%,524,8,88,일본,일본,에이원엔터테인먼트
872,몬테크리스토 백작,,"890,000",0.0%,523,1,9,미국,미국,
872,마리아 스투아르다,2013.9.7,"12,755,500",0.0%,523,2,24,미국,미국,(주)인스터피씨엠
874,내 남자의 아내도 좋아,2009.4.15,"2,609,000",0.0%,519,1,10,스페인,"스페인,미국",(주)씨지브이신도림
875,미드나잇 선,2013.8.8,"2,864,000",0.0%,518,4,30,미국,미국,어뮤즈
876,맹룡과강,1974.10.11,"3,142,000",0.0%,514,5,30,홍콩,홍콩,(주)팝엔터테인먼트
877,팔도 사나이,,"878,000",0.0%,512,1,10,,,
878,내일의 팔도강산,1971.1.12,"1,020,000",0.0%,510,1,6,한국,한국,
879,엘 시드,1971.9.21,"1,019,000",0.0%,508,1,8,미국,"미국,이탈리아,영국",
880,젊은이의 양지,1972.10.28,"1,354,000",0.0%,506,1,15,미국,미국,
881,물고기,2013.1.31,"4,558,000",0.0%,504,4,56,한국,한국,(주)미로비젼
881,하비비,,"2,017,500",0.0%,504,2,8,인도네시아,인도네시아,
883,사라진 기억,2013.12.12,"2,113,000",0.0%,502,5,16,기타,"기타,프랑스,벨기에",그린나래미디어(주)
884,체리밤,2013.8.14,"1,025,000",0.0%,500,3,4,영국,영국,라인트리엔터테인먼트
884,시바타와 나가오,,"751,296",0.0%,500,1,23,한국,"한국,일본",
884,시에라 마드레의 보물,,"846,000",0.0%,500,1,9,미국,미국,
887,비엔나전투 1683,2013.8.8,"1,029,000",0.0%,496,3,4,이탈리아,"이탈리아,폴란드",라인트리엔터테인먼트
887,영웅이 되고 싶은 남자,2013.8.8,"1,039,000",0.0%,496,4,5,대만,"대만,미국",라인트리엔터테인먼트
889,벌거숭이,2013.9.26,"3,163,000",0.0%,495,7,128,한국,한국,이닥픽쳐스
890,수색자,,"986,000",0.0%,493,1,13,미국,미국,
890,월드 워 좀비,2013.11.27,"2,959,000",0.0%,493,6,18,미국,"미국,영국",(유)조이앤컨텐츠그룹
890,기적,1972.12.23,"991,000",0.0%,493,1,11,미국,미국,
893,이주일의 리빠동 사장,1980.10.18,"982,000",0.0%,491,1,9,한국,한국,
894,로미오와 줄리엣,2013.9.26,"8,491,000",0.0%,488,7,62,영국,영국,(주)인스터피씨엠
895,청춘정담,2013.11.21,"3,176,500",0.0%,484,6,84,한국,한국,디마엔터테인먼트
896,암살자,,"840,000",0.0%,481,1,9,한국,한국,
897,킬리만자로의 눈,,"960,000",0.0%,480,1,16,미국,미국,
897,레베카,,"1,230,000",0.0%,480,1,11,미국,미국,
899,열혈남아,1989.10.14,"3,835,000",0.0%,479,1,5,홍콩,홍콩,
900,세이사쿠의 아내,,"2,703,000",0.0%,476,1,7,일본,일본,
901,비우,,"951,000",0.0%,474,1,20,프랑스,프랑스,
902,체 게바라 : 뉴맨,2012.11.29,"2,535,000",0.0%,472,1,17,쿠바,"쿠바,아르헨티나",(주)피터팬픽쳐스
902,나의 가족 나의 도시,,"2,470,000",0.0%,472,1,14,독일,독일,(주)에스와이코마드
904,백은제국,2013.12.24,"2,370,000",0.0%,470,5,15,중국,"중국,홍콩,대만",스크린조이
905,마부,,"784,000",0.0%,467,1,13,한국,한국,
906,"꽃잎, 춤",2013.11.21,"3,638,000",0.0%,466,3,67,일본,일본,(주)영화사 조제
907,종로의 기적,2011.6.2,"3,214,400",0.0%,465,1,47,한국,한국,시네마달
908,최민수의 어쌔씬 코드,2013.12.24,"2,300,000",0.0%,460,5,14,미국,미국,(유)조이앤컨텐츠그룹
909,표류일기,1997.8.9,"3,038,500",0.0%,459,7,58,한국,한국,시네마 뉴원
910,젊은 사자들,,"914,000",0.0%,457,1,12,미국,미국,
911,수호지-의적유당,2013.11.22,"1,518,000",0.0%,454,4,14,중국,중국,(유)조이앤컨텐츠그룹
911,북극의 후예 이누크,2013.8.29,"3,478,000",0.0%,454,4,47,기타,"기타,프랑스",(주)피터팬픽쳐스
911,내가 고백을 하면,2012.11.15,"3,806,000",0.0%,454,2,39,한국,한국,(주)마인스 엔터테인먼트
914,늑대소년,2012.10.31,"3,033,500",0.0%,452,2,65,한국,한국,씨제이이앤엠(주)
915,천국과 지옥,,"1,804,000",0.0%,451,1,4,일본,일본,
916,대석굴암,,"900,000",0.0%,450,1,16,한국,한국,
916,어디로 갈까요?,2013.5.16,"2,451,000",0.0%,450,4,192,한국,한국,(주)씨타마운틴픽쳐스
918,러빙 이비자: 섹슈얼아일랜드,2013.11.14,"2,774,000",0.0%,449,6,23,네덜란드,네덜란드,주식회사 풍경소리
919,행복한 사전,2014.2.20,"3,800,000",0.0%,448,1,3,일본,일본,씨네그루(주)다우기술
920,오페라-카르멘(메트로폴리탄),2010.4.4,"5,602,000",0.0%,446,1,10,미국,미국,㈜메가박스
921,7인의 사무라이,,"1,780,000",0.0%,445,1,4,일본,일본,
922,카이로의 붉은 장미,,"3,011,000",0.0%,444,1,3,,,
923,독짓는 늙은이,1969.3.4,"764,000",0.0%,441,1,9,한국,한국,
924,춘향뎐(春香傳),2000.1.29,"880,000",0.0%,440,1,9,한국,한국,
924,사육-내안에 가둔 그녀,2013.10.24,"2,220,000",0.0%,440,5,27,한국,한국,(주)케이알씨지
924,영광의 탈출,,"880,000",0.0%,440,1,6,미국,미국,
927,카르고,2013.9.12,"2,176,000",0.0%,435,1,8,스위스,스위스,(주)스마일이엔티
928,프란체스카 다 리미니,2013.11.16,"11,075,500",0.0%,433,2,35,미국,미국,(주)인스터피씨엠
929,맘마미아!,2008.9.3,"2,583,000",0.0%,432,1,14,미국,미국,유니버설픽쳐스인터내셔널 코리아(유)
929,유 콜 잇 러브,1989.4.1,"2,771,500",0.0%,432,32,49,프랑스,프랑스,
931,자전거 탄 소년,2012.1.19,"3,692,500",0.0%,431,1,8,벨기에,"벨기에,프랑스",(주)티캐스트
932,더 피플 아이브 슬렙 위드,2013.1.30,"3,010,000",0.0%,430,1,10,미국,미국,(주)에이씨피컴퍼니
932,제인 에어,2011.4.20,"3,270,000",0.0%,430,1,8,영국,영국,(주)시너지하우스 (시너지)
934,안소니퀸의 길,,"1,170,000",0.0%,429,1,15,이탈리아,이탈리아,
934,오션스 일레븐,2002.2.28,"858,000",0.0%,429,1,9,미국,미국,워너브러더스 코리아(주)
934,나는 살고 싶다,,"858,000",0.0%,429,1,9,미국,미국,
937,해저 2만리,,"854,000",0.0%,427,1,12,미국,미국,
938,샤레이드,,"735,000",0.0%,425,1,9,,,
938,모감보,,"851,000",0.0%,425,1,16,미국,미국,
940,창공에 산다,,"848,000",0.0%,424,1,17,,,
940,오페라-투란도트(메트로폴리탄),2010.1.10,"5,570,000",0.0%,424,1,12,미국,미국,㈜메가박스
942,장군의 아들 2,1991.7.20,"732,000",0.0%,423,1,10,한국,한국,
942,진구세주전설 북두의권 Zero - 켄시로전,2013.10.10,"2,951,500",0.0%,423,9,72,일본,일본,(주)앤드플러스미디어웍스
944,스탠리의 도시락,2012.3.8,"2,338,000",0.0%,421,1,2,인도,인도,타임스토리그룹(주)
945,제인 에어,,"840,000",0.0%,420,1,12,미국,미국,
945,크레이지 샤크,2013.12.4,"2,180,000",0.0%,420,5,20,미국,미국,(유)조이앤컨텐츠그룹
945,푸셔: 파이널 프로젝트,2013.12.4,"2,180,000",0.0%,420,5,20,영국,영국,스크린조이
948,스팔타카스,1974.1.23,"846,000",0.0%,418,1,8,미국,미국,
948,세계를 그대 품안에,,"1,073,000",0.0%,418,1,19,미국,미국,
950,링컨,,"700,000",0.0%,417,1,9,미국,미국,
950,분노의 포도,,"906,000",0.0%,417,1,10,미국,미국,
952,철가방 우수氏,2012.11.22,"2,519,000",0.0%,416,3,22,한국,한국,씨제이이앤엠(주)
953,그린 맨션,,"830,000",0.0%,415,1,7,미국,미국,
954,망원동 인공위성,2015.2.5,"1,367,500",0.0%,412,1,4,한국,한국,(주)시네마달
955,동방불패,1992.3.25,"2,196,000",0.0%,410,5,17,홍콩,홍콩,스크린조이
956,영자의 전성시대,1975.2.11,"804,000",0.0%,402,1,9,한국,한국,
956,미 앤 유,2014.2.27,"3,214,000",0.0%,402,1,5,이탈리아,이탈리아,오드
